id,name,rating,review_count,categories,price,address,latitude,longitude,url,website_url,city
WvSxKBy7TOZP52csSar65w,Little Water Cantina,3.0,614,"Mexican, Bars",$$,"2865 Eastlake Ave E, Seattle, WA 98102",47.64723,-122.32491,https://www.yelp.com/biz/little-water-cantina-seattle?adjust_creative=632qKbOuTSIeM1pDX1vm9w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=632qKbOuTSIeM1pDX1vm9w,http://www.littlewatercantina.com/menu/,"Seattle, WA"
CCOknNO_ocdR8sHtJrSEuA,La Cocina & Cantina,3.5,429,"Mexican, Spanish, Latin American",$$,"432 Broadway E, Seattle, WA 98102",47.62295014695903,-122.32058697055278,https://www.yelp.com/biz/la-cocina-and-cantina-seattle?adjust_creative=632qKbOuTSIeM1pDX1vm9w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=632qKbOuTSIeM1pDX1vm9w,https://www.lacocinabroadway.com/#menu,"Seattle, WA"
VVhKLOLBpfhl4lIGtbd_WA,Isarn Thai Soul Kitchen,4.2,1391,"Thai, Cocktail Bars, Noodles",$$,"170 Lake St S, Kirkland, WA 98033",47.67424,-122.2058,https://www.yelp.com/biz/isarn-thai-soul-kitchen-kirkland-2?adjust_creative=632qKbOuTSIeM1pDX1vm9w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=632qKbOuTSIeM1pDX1vm9w,https://isarnkitchen.com/product-category/signature-menu/,"Seattle, WA"
05mo3jmxIGXmSlIaJHCPXQ,The 100 Pound Clam,3.6,65,"Seafood, Bars, Sandwiches",$$,"1001 Fairview Ave N, Seattle, WA 98109",47.628842,-122.331831,https://www.yelp.com/biz/the-100-pound-clam-seattle-2?adjust_creative=632qKbOuTSIeM1pDX1vm9w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=632qKbOuTSIeM1pDX1vm9w,http://100poundclam.com/pdf/100%20Pound%20Clam%20Menu.pdf,"Seattle, WA"
HV5U9UpgfD-UFi_sSusk6w,Taco El Lago,4.3,36,Mexican,,"3620 Stone Way N, Seattle, WA 98103",47.65119,-122.34242,https://www.yelp.com/biz/taco-el-lago-seattle?adjust_creative=632qKbOuTSIeM1pDX1vm9w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=632qKbOuTSIeM1pDX1vm9w,https://www.yelp.com/biz/taco-el-lago-seattle?adjust_creative=632qKbOuTSIeM1pDX1vm9w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=632qKbOuTSIeM1pDX1vm9w,"Seattle, WA"
kMvANi6LKdaOGYcM56vRUw,Copacabana Cafe,2.8,270,"Spanish, Latin American",$$,"1520 1/2 Pike Pl, Seattle, WA 98101",47.6088436401923,-122.340728269897,https://www.yelp.com/biz/copacabana-cafe-seattle?adjust_creative=632qKbOuTSIeM1pDX1vm9w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=632qKbOuTSIeM1pDX1vm9w,https://www.yelp.com/biz/copacabana-cafe-seattle?adjust_creative=632qKbOuTSIeM1pDX1vm9w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=632qKbOuTSIeM1pDX1vm9w,"Seattle, WA"
tl0GrsOs4ViWjApsgaBvog,Viva Mexico,3.3,108,Mexican,$$,"10601 16th Ave SW, Seattle, WA 98146",47.5083411315758,-122.355437390506,https://www.yelp.com/biz/viva-mexico-seattle?adjust_creative=632qKbOuTSIeM1pDX1vm9w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=632qKbOuTSIeM1pDX1vm9w,,"Seattle, WA"
mGRFBRx6na1D6WHuD4UJdg,Taquería Tequila Authentic Mexican Food,3.8,386,Mexican,$,"301 NW 85th St, Seattle, WA 98117",47.6903999,-122.36097,https://www.yelp.com/biz/taquer%C3%ADa-tequila-authentic-mexican-food-seattle-2?adjust_creative=632qKbOuTSIeM1pDX1vm9w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=632qKbOuTSIeM1pDX1vm9w,https://www.yelp.com/biz/taquer%C3%ADa-tequila-authentic-mexican-food-seattle-2?adjust_creative=632qKbOuTSIeM1pDX1vm9w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=632qKbOuTSIeM1pDX1vm9w,"Seattle, WA"
EskPa0x-VaJLSE-C7JuUkg,Taqueria El Sabor,4.3,672,Mexican,$$,"15221 Aurora Ave N, Shoreline, WA 98133",47.739717,-122.345615,https://www.yelp.com/biz/taqueria-el-sabor-shoreline-2?adjust_creative=632qKbOuTSIeM1pDX1vm9w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=632qKbOuTSIeM1pDX1vm9w,https://www.yelp.com/biz/taqueria-el-sabor-shoreline-2?adjust_creative=632qKbOuTSIeM1pDX1vm9w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=632qKbOuTSIeM1pDX1vm9w,"Seattle, WA"
BqdHPTR6fPnJZNbfBzZU8A,Casa Oaxaca,4.4,192,"Mexican, Seafood, Cocktail Bars",$$,"8402 Bowdoin Way, Edmonds, WA 98020",47.80630771353427,-122.3467614981638,https://www.yelp.com/biz/casa-oaxaca-edmonds-5?adjust_creative=632qKbOuTSIeM1pDX1vm9w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=632qKbOuTSIeM1pDX1vm9w,https://www.casaoaxacaedmonds.com/menu,"Seattle, WA"
E2BYo2gg0rmhWCY1JkcTpA,Castilla Restaurant and Tapas Bar,3.9,770,"Spanish, Tapas Bars, Cocktail Bars",$$,"504 Bellevue Square, Bellevue, WA 98004",47.61651833155788,-122.2019644,https://www.yelp.com/biz/castilla-restaurant-and-tapas-bar-bellevue-2?adjust_creative=632qKbOuTSIeM1pDX1vm9w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=632qKbOuTSIeM1pDX1vm9w,https://www.castillarestaurant.com/menus/,"Seattle, WA"
WqQKSw8YEyyImnbzggmG5w,Red Star Taco Bar,3.9,517,"Mexican, Cocktail Bars",$$,"513 N 36th St, Ste E, Seattle, WA 98103",47.6514130785983,-122.351609878242,https://www.yelp.com/biz/red-star-taco-bar-seattle?adjust_creative=632qKbOuTSIeM1pDX1vm9w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=632qKbOuTSIeM1pDX1vm9w,http://www.redstartacobar.com/menu/,"Seattle, WA"
zq0rP-oZ6pUzbwcMNLIQ_Q,Baja Bistro,3.9,291,"Mexican, Breakfast & Brunch, Gay Bars",$$,"2710 Beacon Ave S, Seattle, WA 98144",47.579148,-122.31168,https://www.yelp.com/biz/baja-bistro-seattle?adjust_creative=632qKbOuTSIeM1pDX1vm9w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=632qKbOuTSIeM1pDX1vm9w,https://bajabistrobh.com/#tabs,"Seattle, WA"
p1TOF1XkXzLx3a-LF3lDlw,Taylor Shellfish Oyster Bar,4.3,1088,"Seafood, Live/Raw Food",$$$,"410 Occidental Ave S, Seattle, WA 98104",47.59884,-122.33268,https://www.yelp.com/biz/taylor-shellfish-oyster-bar-seattle-2?adjust_creative=632qKbOuTSIeM1pDX1vm9w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=632qKbOuTSIeM1pDX1vm9w,https://www.taylorshellfishfarms.com/pioneer-square,"Seattle, WA"
wV2lc3dOoIHRT_SfmEohtA,El Grito Taqueria,3.9,303,Mexican,$$,"234 Fairview Ave N, Seattle, WA 98109",47.62069,-122.33398,https://www.yelp.com/biz/el-grito-taqueria-seattle?adjust_creative=632qKbOuTSIeM1pDX1vm9w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=632qKbOuTSIeM1pDX1vm9w,https://www.yelp.com/biz/el-grito-taqueria-seattle?adjust_creative=632qKbOuTSIeM1pDX1vm9w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=632qKbOuTSIeM1pDX1vm9w,"Seattle, WA"
-D2zC5CIfJRj92QDqxTjMw,El Gallito,3.8,253,Mexican,$$,"1700 20th Ave, Seattle, WA 98122",47.6175994873047,-122.305885314941,https://www.yelp.com/biz/el-gallito-seattle?adjust_creative=632qKbOuTSIeM1pDX1vm9w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=632qKbOuTSIeM1pDX1vm9w,,"Seattle, WA"
H3iOpC1GT7Lcxdt28_JCqg,5 Hermanos Mexican Restaurant,4.2,151,"Tacos, Cocktail Bars",$$,"10707 SE Carr Rd, Renton, WA 98055",47.4440996124003,-122.197909878486,https://www.yelp.com/biz/5-hermanos-mexican-restaurant-renton-2?adjust_creative=632qKbOuTSIeM1pDX1vm9w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=632qKbOuTSIeM1pDX1vm9w,http://5hermanosrestaurant.com/menu/,"Seattle, WA"
w8coHUYFJZZ-5id-yE8j3A,Birrieria la Sabrosa de los Mochis,4.8,33,Mexican,,"12610 Desmoines Memorial Dr, Seattle, WA 98168",47.48997,-122.31029,https://www.yelp.com/biz/birrieria-la-sabrosa-de-los-mochis-seattle?adjust_creative=632qKbOuTSIeM1pDX1vm9w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=632qKbOuTSIeM1pDX1vm9w,https://www.yelp.com/biz/birrieria-la-sabrosa-de-los-mochis-seattle?adjust_creative=632qKbOuTSIeM1pDX1vm9w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=632qKbOuTSIeM1pDX1vm9w,"Seattle, WA"
fGAKiSlodVstSPAITFu_MA,El 42 Cantina,4.1,243,"Cocktail Bars, Mexican, Breakfast & Brunch",$$,"38 Front St N, Issaquah, WA 98027",47.53062,-122.0363,https://www.yelp.com/biz/el-42-cantina-issaquah?adjust_creative=632qKbOuTSIeM1pDX1vm9w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=632qKbOuTSIeM1pDX1vm9w,http://el42cantina.com/wp-content/uploads/2020/07/el42-daily-menu-web.pdf,"Seattle, WA"
bRkQjkgbZlPGNOgW72eyKg,Smith,3.8,972,"Bars, New American, Breakfast & Brunch",$$,"332 15th Ave E, Seattle, WA 98112",47.6214889,-122.312315,https://www.yelp.com/biz/smith-seattle?adjust_creative=632qKbOuTSIeM1pDX1vm9w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=632qKbOuTSIeM1pDX1vm9w,,"Seattle, WA"
EAhPBA_qT2fe3RFk9eii3g,JOEY U-Village,3.9,1325,"New American, Steakhouses, Wine Bars",$$,"2603 NE 46th St, University Village, Seattle, WA 98105",47.66164,-122.29969,https://www.yelp.com/biz/joey-kitchen-at-university-village-seattle-2?adjust_creative=632qKbOuTSIeM1pDX1vm9w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=632qKbOuTSIeM1pDX1vm9w,https://joeyrestaurants.com/location/joey-university-village/menu#food,"Seattle, WA"
sTfaNwExsVxnICXndBisdQ,Loco-chon Bar & Grill,4.2,210,Mexican,$$,"13256 Newcastle Commons Dr, Newcastle, WA 98059",47.54371,-122.16202,https://www.yelp.com/biz/loco-chon-bar-and-grill-newcastle?adjust_creative=632qKbOuTSIeM1pDX1vm9w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=632qKbOuTSIeM1pDX1vm9w,https://www.locochonbarandgrill.com/menus,"Seattle, WA"
